,Brand,Product Name,Category,Production Year ,Link to Product Pic,Wholesale Price (Ib),Market Price (Ib),Profit Made,Profit Margin,Latest Url
1726,kroger,Café Bustelo Espresso Espresso Ground,Espresso,2025,https://storage.googleapis.com/coffee-aysa2025/cafe%cc%81%20bustelo%20espresso%20dark%20roast%20ground%20%e2%80%93%2010%20oz.jpeg,$3.90,$4.79,$0.89,23.00%,https://storage.googleapis.com/coffee-aysa2025/Cafe%CC%81%20Bustelo%20Espresso%20Dark%20Roast%20Ground%20%E2%80%93%2010%20oz.jpeg
1727,kroger,Café Bustelo Espresso Espresso Ground,Espresso ,2025,https://storage.googleapis.com/coffee-aysa2025/cafe%cc%81%20bustelo%20espresso%20dark%20roast%20ground%20%e2%80%93%2010%20oz.jpeg,$9.37,$11.49,$2.12,23.00%,https://storage.googleapis.com/coffee-aysa2025/Cafe%CC%81%20Bustelo%20Espresso%20Dark%20Roast%20Ground%20%E2%80%93%2010%20oz.jpeg
1728,kroger,Café Bustelo Instant Instant Coffee,Instant ,2025,https://storage.googleapis.com/coffee-aysa2025/cafe%cc%81%20bustelo%20espresso%20dark%20roast%20ground%20%e2%80%93%2010%20oz.jpeg,$5.70,$6.99,$1.29,23.00%,https://storage.googleapis.com/coffee-aysa2025/Cafe%CC%81%20Bustelo%20Espresso%20Dark%20Roast%20Ground%20%E2%80%93%2010%20oz.jpeg
1729,kroger,Café Bustelo Decaf Espresso Espresso Ground Decaf,Decaf,2025,https://storage.googleapis.com/coffee-aysa2025/cafe%cc%81%20bustelo%20decaf%20instant%20%e2%80%93%203.5%20oz.jpeg,$4.07,$4.99,$0.92,23.00%,https://storage.googleapis.com/coffee-aysa2025/Cafe%CC%81%20Bustelo%20Decaf%20Instant%20%E2%80%93%203.5%20oz.jpeg
1730,kroger,Café Bustelo Pod Coffee,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/folgers%20classic%20%e2%80%93%20k-cup%2012-ct.jpeg,$6.51,$7.99,$1.48,23.00%,https://storage.googleapis.com/coffee-aysa2025/Folgers%20Classic%20%E2%80%93%20K-Cup%2012-ct.jpeg
1731,kroger,Café Bustelo Pod Coffee,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/folgers%20classic%20%e2%80%93%20k-cup%2012-ct.jpeg,$12.21,$14.99,$2.78,23.00%,https://storage.googleapis.com/coffee-aysa2025/Folgers%20Classic%20%E2%80%93%20K-Cup%2012-ct.jpeg
1732,kroger,Café Bustelo Espresso Style Ready-to-Drink,Ready-to-Drink,2025,https://storage.googleapis.com/coffee-aysa2025/cafe%cc%81%20bustelo%20espresso%20dark%20roast%20ground%20%e2%80%93%2010%20oz.jpeg,$1.62,$1.99,$0.37,23.00%,https://storage.googleapis.com/coffee-aysa2025/Cafe%CC%81%20Bustelo%20Espresso%20Dark%20Roast%20Ground%20%E2%80%93%2010%20oz.jpeg
1733,kroger,Café Bustelo Supreme Dark Roast Ground,Ground,2025,https://storage.googleapis.com/coffee-aysa2025/cafe%cc%81%20bustelo%20espresso%20dark%20roast%20ground%20%e2%80%93%2010%20oz.jpeg,$4.47,$5.49,$1.02,23.00%,https://storage.googleapis.com/coffee-aysa2025/Cafe%CC%81%20Bustelo%20Espresso%20Dark%20Roast%20Ground%20%E2%80%93%2010%20oz.jpeg
1734,kroger,Starbucks Pike Place Roast Medium Roast Ground,Ground,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20pike%20place%20k%e2%80%91cup%20(converted%20to%20per%20lb).jpeg,$7.33,$8.99,$1.66,23.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Pike%20Place%20K%E2%80%91Cup%20(converted%20to%20per%20lb).jpeg
1735,kroger,Starbucks House Blend Medium Roast Ground,Ground,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20french%20roast%20(whole%20bean).jpeg,$7.33,$8.99,$1.66,23.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20French%20Roast%20(Whole%20Bean).jpeg
