Brand,Product Name,Type,Production Year,Link to Product Pictures,Market Price,Profit Made,Profit Margin
H&M,Ribbed Tank Top,Women's Top,2025,https://storage.googleapis.com/h-and-m-2025/H%26M%20Ribbed%20Tank%20Top%20men.jpeg,$9.99,$5.00,50.00%
H&M,Linen-Blend Wide-Leg Pants,Women's Pants,2025,https://storage.googleapis.com/h-and-m-2025/H%26M%20Linen-Blend%20Wide-Leg%20Pants.jpeg,$24.99,$13.74,55.00%
H&M,Ribbed Tank/Tube Top,Women's Crop Top,2025,https://storage.googleapis.com/h-and-m-2025/H%26M%20Ribbed%20Tank%3ATube%20Top.jpeg,$12.99,$6.50,50.00%
H&M,Microfiber Tank Top,Women's Top,2025,https://storage.googleapis.com/h-and-m-2025/H%26M%20Microfiber%20Tank%20Top.jpeg,$12.99,$6.50,50.00%
H&M,Oversized Cotton Shirt,Women's Shirt,2025,https://storage.googleapis.com/h-and-m-2025/H%26M%20Oversized%20Cotton%20Shirt.jpeg,$29.99,$16.49,55.00%
H&M,Rib-Knit Cardigan,Cardigan Sweater,2025,https://storage.googleapis.com/h-and-m-2025/H%26M%20Rib-Knit%20Cardigan.jpeg,$34.99,$20.99,60.00%
H&M,Rib-Knit Dress,Women's Dress,2025,https://storage.googleapis.com/h-and-m-2025/H%26M%20Rib-Knit%20Dress.jpeg,$29.99,$16.49,55.00%
H&M,Flounce-Detail Dress,Women's Dress,2025,https://storage.googleapis.com/h-and-m-2025/H%26M%20Flounce-Detail%20Dress.jpeg,$24.99,$13.74,55.00%
